"letter	ID	amplitude	amplitude_se	time	num_events	frequency	cell	sex	X	Y	age	animal	synapses	treatment	category	R_a	notes	days_alone	animal_or_slicing_problems",,,,,,,,,,,,,,,,
"RMN1	Concatenate-RMN1	20.59	0.94	3.92	49	9.8	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
"RMN1	Concatenate-RMN1	27.61	1.3	4	54	10.8	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
"RMN1	Concatenate-RMN1	26.98	1.34	4.08	45	9	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
"RMN1	Concatenate-RMN1	26.37	1.27	4.17	55	11	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
"RMN1	Concatenate-RMN1	25.81	1.32	4.25	59	11.8	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
"RMN1	Concatenate-RMN1	26.22	1.28	4.33	48	9.6	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
"RMN1	Concatenate-RMN1	26.84	1.3	4.42	57	11.4	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
"RMN1	Concatenate-RMN1	26.75	1.28	4.5	53	10.6	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
"RMN1	Concatenate-RMN1	28.85	1.4	4.58	57	11.4	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
"RMN1	Concatenate-RMN1	26.45	1.53	4.67	53	10.6	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
"RMN1	Concatenate-RMN1	26.62	1.09	4.75	57	11.4	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
"RMN1	Concatenate-RMN1	23.7	1.31	4.83	49	9.8	2.1.4	Female	176.29	471.86	39	NA	Glutamate	Control	1	""1.4",2.2, 2.4 to 4.0,2.7,4.4," 4.3""			",,,,,,,,,,,
